Journey_Id,Workflow_Type,Total_Gt_Blocks,Line_Break,Merge,Split_Edits,Split_Merge,Size_Change,Line_Shift,Position_Shift,Alignment_Change,Region_Change,Extra_Block,Missing_Block,Block_Match_Time_Drift,VTT_Style,Spanwise_Style_Change,Punctuation_Edits,Word_Edits,Musical_Lyrics,Closed_Caption,Speaker_Transition,Content_Duration,Tier,Created_At
7ef30ad7-b70e-40b1-812b-684a7b3a6659,closed_captioning_v2,1635,172,23,335,156,,,,,1570,41,29,24,,1550,386,292,0,406,275,65.6315382,3,2026-08-23T16:03:00.411398
70225853-8fd7-413c-81df-dabd102b9b86,closed_captioning_v2,959,138,5,241,134,,,,,913,31,14,24,,901,166,182,0,110,72,42.751597783333331,3,2026-08-20T13:50:32.288100
618a0d66-5323-46a1-b322-73cafe9d532d,emt_dialog,969,19,3,110,24,,,,,177,615,792,36,,171,51,83,0,,2,90.924166666666665,3,2026-08-20T04:26:43.497376
1b57172c-c8b5-4a7a-bbf7-4b172cc61428,closed_captioning_v2,969,80,8,194,92,,,,,936,10,19,28,,914,121,138,0,200,120,43.767334716666667,3,2026-08-20T03:27:03.058327
51d0e99b-c9de-4959-b71e-01aef05bcd02,closed_captioning_v2,1111,86,2,228,51,,,,,1066,19,25,32,,1057,137,275,0,217,157,43.001291666666667,3,2026-08-19T10:26:31.494509
d68711ed-6d4d-49e9-966c-d2aa6171bf7e,closed_captioning_v2,1132,66,3,261,46,,,,,1091,22,21,25,,1079,161,277,0,201,150,43.000596533333336,3,2026-08-19T03:18:19.749043
db165e7f-9c7c-4971-ba16-1d7678d802ee,closed_captioning_v2,706,52,6,112,42,,,,,633,49,22,23,,625,77,110,0,22,35,42.18333333333333,2,2026-08-18T21:51:29.130506
d7d71df7-1838-4706-a9f6-54f200bca4c9,closed_captioning_v2,924,131,2,257,145,,,,,892,26,14,27,,877,193,201,0,109,105,42.335348616666671,3,2026-08-18T18:17:22.045149
bab45d10-8a7f-4561-8c39-2d3b6bad0008,closed_captioning_v2,831,107,7,211,88,,,,,682,86,41,15,,660,163,193,0,155,103,44.25393195,3,2026-08-18T17:36:18.643720
43e4ee41-df97-45b3-bbfb-a4ae28c1a54c,closed_captioning_v2,902,99,3,237,129,,,,,826,94,23,19,,805,210,233,0,140,105,43.352336799999996,3,2026-08-17T20:12:33.414014
